split,zero_output,linear_in_input,constant_output
66,246,287,13
20,14,24,0
13,81,85,0
64,239,281,28
26,13,19,0
26,71,82,0
72,235,264,41
23,10,25,0
9,122,48,0
44,242,203,123
16,13,29,0
20,80,79,0
80,241,272,19
23,8,27,0
17,112,50,0
53,236,218,105
16,13,29,0
22,75,82,0
90,229,247,46
21,10,27,0
24,79,76,0
92,215,273,32
23,8,27,0
22,105,52,0
96,204,243,69
21,6,31,0
11,120,48,0
71,200,263,78
17,15,26,0
21,88,70,0
91,223,274,24
26,11,21,0
12,131,36,0
51,216,202,143
15,13,30,0
19,92,68,0
82,220,268,42
27,9,22,0
9,135,35,0
59,214,198,141
15,14,29,0
29,61,89,0
92,232,268,20
23,8,27,0
22,51,106,0
82,243,271,16
16,10,32,0
26,79,74,0
92,230,269,21
23,8,27,0
24,98,57,0
98,199,251,64
31,5,22,0
26,83,70,0
80,226,269,37
23,6,29,0
24,68,87,0
101,222,268,21
26,13,19,0
22,96,61,0
87,212,268,45
26,5,27,0
21,93,65,0
96,221,269,26
25,10,23,0
12,133,34,0
47,215,172,178
14,12,32,0
22,73,84,0
77,237,281,17
22,6,30,0
19,103,57,0
80,232,221,79
10,14,34,0
17,90,72,0
86,235,259,32
20,11,27,0
21,94,64,0
65,230,292,25
14,19,25,0
17,109,53,0
88,210,233,81
21,7,30,0
21,90,68,0
71,227,265,49
14,17,27,0
19,78,82,0
111,216,246,39
22,8,28,0
17,65,97,0
80,246,277,9
21,11,26,0
15,86,78,0
58,233,285,36
18,13,27,0
27,89,63,0
87,214,260,51
22,12,24,0
23,63,93,0
85,239,277,11
21,15,22,0
36,76,67,0
112,208,270,22
32,6,20,0
22,98,59,0
87,213,252,60
20,12,26,0
17,121,41,0
60,228,208,116
12,16,30,0
19,98,62,0
90,209,258,55
23,6,29,0
20,105,54,0
87,211,260,54
25,7,26,0
18,80,81,0
76,236,260,40
14,22,22,0
23,67,89,0
98,228,281,5
10,20,28,0
27,76,76,0
126,201,270,15
21,14,23,0
22,84,73,0
92,223,267,30
28,8,22,0
14,132,33,0
77,192,214,129
21,8,29,0
13,139,27,0
65,197,194,156
19,11,28,0
17,81,81,0
83,230,250,49
28,8,22,0
13,128,38,0
40,231,204,137
16,11,31,0
27,62,90,0
76,246,272,18
18,17,23,0
7,134,38,0
48,221,167,176
17,10,31,0
25,66,88,0
82,223,261,46
26,10,22,0
18,106,55,0
67,229,260,56
18,8,32,0
15,70,94,0
68,268,270,6
14,21,23,0
23,77,79,0
109,216,264,23
22,6,30,0
25,86,68,0
84,223,268,37
27,5,26,0
14,64,101,0
77,242,279,14
16,18,24,0
24,71,84,0
83,235,262,32
19,12,27,0
25,60,94,0
88,252,267,5
16,18,24,0
12,136,31,0
66,197,199,150
