split,zero_output,linear_in_input,constant_output
41,224,204,21
21,14,23,0
13,81,85,0
59,196,197,38
23,14,21,0
26,71,82,0
65,199,178,48
22,10,26,0
9,122,48,0
27,201,138,124
12,15,31,0
20,80,79,0
66,206,194,24
25,8,25,0
17,112,50,0
41,190,147,112
13,16,29,0
22,75,82,0
55,202,187,46
20,10,28,0
24,79,76,0
65,189,196,40
24,8,26,0
22,105,52,0
85,170,147,88
22,6,30,0
11,120,48,0
51,171,171,97
15,18,25,0
21,88,70,0
61,192,189,48
28,12,18,0
12,131,36,0
42,164,138,146
15,13,30,0
19,92,68,0
51,192,194,53
28,8,22,0
9,135,35,0
46,169,126,149
11,15,32,0
29,61,89,0
65,211,180,34
25,8,25,0
22,51,106,0
60,223,195,12
21,9,28,0
26,79,74,0
65,202,194,29
25,8,25,0
24,98,57,0
71,163,176,80
30,7,21,0
26,83,70,0
67,191,183,49
24,7,27,0
24,68,87,0
68,204,189,29
23,14,21,0
22,96,61,0
72,181,174,63
24,8,26,0
21,93,65,0
69,193,186,42
25,10,23,0
12,133,34,0
36,170,123,161
11,15,32,0
22,73,84,0
54,200,199,37
22,8,28,0
19,103,57,0
48,194,158,90
11,15,32,0
17,90,72,0
65,199,182,44
22,9,27,0
21,94,64,0
47,194,194,55
14,19,25,0
17,109,53,0
69,171,160,90
21,8,29,0
21,90,68,0
49,201,176,64
13,17,28,0
19,78,82,0
88,177,180,45
18,12,28,0
17,65,97,0
66,210,188,26
23,10,25,0
15,86,78,0
58,196,191,45
18,15,25,0
27,89,63,0
63,184,177,66
19,14,25,0
23,63,93,0
64,214,194,18
23,15,20,0
36,76,67,0
70,186,204,30
27,8,23,0
22,98,59,0
62,176,179,73
22,12,24,0
17,121,41,0
40,185,147,118
12,14,32,0
19,98,62,0
61,180,178,71
19,8,31,0
20,105,54,0
62,176,173,79
23,7,28,0
18,80,81,0
50,207,182,51
15,19,24,0
23,67,89,0
78,192,204,16
9,21,28,0
27,76,76,0
103,168,199,20
23,13,22,0
22,84,73,0
77,185,175,53
25,10,23,0
14,132,33,0
60,143,147,140
21,10,27,0
13,139,27,0
50,150,129,161
18,10,30,0
17,81,81,0
59,200,175,56
23,10,25,0
13,128,38,0
36,179,139,136
14,13,31,0
27,62,90,0
62,208,179,41
15,18,25,0
7,134,38,0
35,175,116,164
13,14,31,0
25,66,88,0
72,196,176,46
23,11,24,0
18,106,55,0
49,183,174,84
17,9,32,0
15,70,94,0
51,230,193,16
14,19,25,0
23,77,79,0
78,193,182,37
24,5,29,0
25,86,68,0
66,188,194,42
21,6,31,0
14,64,101,0
70,214,177,29
19,17,22,0
24,71,84,0
56,205,196,33
22,11,25,0
25,60,94,0
67,219,194,10
19,13,26,0
12,136,31,0
42,160,135,153
12,12,34,0
14,109,56,0
46,189,150,105
14,16,28,0
11,128,40,0
43,166,134,147
13,14,31,0
24,73,82,0
71,204,182,33
15,15,28,0
18,94,67,0
67,181,156,86
20,12,26,0
27,64,88,0
79,212,186,13
24,9,25,0
19,123,37,0
62,152,149,127
21,8,29,0
10,119,50,0
30,204,142,114
12,17,29,0
13,92,74,0
44,207,171,68
13,11,34,0
21,101,57,0
50,188,174,78
21,9,28,0
21,61,97,0
56,216,188,30
24,11,23,0
11,34,134,0
64,240,174,12
18,17,23,0
19,73,87,0
69,203,183,35
15,18,25,0
13,128,38,0
36,176,142,136
6,16,36,0
8,140,31,0
45,163,111,171
12,14,32,0
13,133,33,0
47,161,145,137
13,13,32,0
21,107,51,0
59,185,173,73
17,11,30,0
18,85,76,0
62,194,164,70
18,9,31,0
29,73,77,0
73,192,182,43
22,16,20,0
17,90,72,0
67,185,183,55
22,12,24,0
20,86,73,0
36,201,170,83
13,18,27,0
16,103,60,0
49,190,193,58
20,15,23,0
22,97,60,0
73,177,171,69
23,7,28,0
18,86,75,0
48,201,155,86
18,16,24,0
23,107,49,0
50,177,167,96
16,12,30,0
14,85,80,0
57,204,160,69
20,13,25,0
23,70,86,0
69,215,177,29
20,9,29,0
17,91,71,0
58,186,194,52
11,19,28,0
17,88,74,0
48,195,184,63
13,15,30,0
21,101,57,0
60,174,184,72
26,10,22,0
26,80,73,0
66,195,200,29
28,8,22,0
21,89,69,0
52,192,183,63
18,15,25,0
22,65,92,0
65,212,184,29
24,11,23,0
16,37,126,0
52,234,189,15
23,12,23,0
17,98,64,0
59,184,179,68
16,15,27,0
16,139,24,0
49,149,140,152
12,11,35,0
23,77,79,0
78,191,191,30
19,13,26,0
28,56,95,0
80,196,183,31
22,16,20,0
20,114,45,0
72,158,170,90
25,6,27,0
11,132,36,0
44,175,127,144
12,12,34,0
16,124,39,0
50,168,158,114
17,13,28,0
25,92,62,0
67,183,172,68
20,13,25,0
25,98,56,0
73,172,181,64
20,10,28,0
26,69,84,0
65,207,170,48
23,8,27,0
26,66,87,0
79,194,176,41
18,14,26,0
16,116,47,0
52,172,155,111
13,16,29,0
25,97,57,0
72,172,179,67
25,8,25,0
9,104,66,0
47,206,156,81
12,18,28,0
18,99,62,0
52,185,177,76
20,11,27,0
24,83,72,0
72,182,196,40
18,10,30,0
13,131,35,0
50,168,118,154
12,13,33,0
24,80,75,0
65,194,179,52
28,7,23,0
31,59,89,0
74,206,190,20
17,14,27,0
20,63,96,0
59,206,183,42
19,15,24,0
17,104,58,0
59,176,179,76
23,10,25,0
13,113,53,0
58,179,154,99
27,9,22,0
25,93,61,0
82,169,179,60
24,12,22,0
21,62,96,0
58,224,197,11
15,20,23,0
30,88,61,0
63,180,178,69
18,13,27,0
16,70,93,0
55,217,188,30
17,13,28,0
13,109,57,0
49,187,164,90
24,9,25,0
21,68,90,0
56,212,171,51
17,12,29,0
11,135,33,0
43,164,134,149
12,13,33,0
16,88,75,0
53,192,168,77
24,10,24,0
22,94,63,0
77,180,189,44
21,8,29,0
22,114,43,0
56,174,158,102
15,18,25,0
19,112,48,0
55,173,146,116
18,14,26,0
22,83,74,0
56,195,187,52
15,17,26,0
24,86,69,0
65,194,156,75
17,11,30,0
23,70,86,0
58,204,203,25
15,13,30,0
23,69,87,0
84,205,181,20
28,11,19,0
28,67,84,0
97,187,169,37
28,7,23,0
20,104,55,0
68,177,177,68
23,8,27,0
10,116,53,0
46,175,166,103
20,14,24,0
15,112,52,0
45,179,163,103
12,17,29,0
20,104,55,0
41,189,151,109
19,10,29,0
16,115,48,0
44,189,155,102
9,16,33,0
24,52,103,0
55,222,195,18
25,10,23,0
18,115,46,0
42,181,152,115
11,16,31,0
34,48,97,0
86,202,194,8
24,11,23,0
17,90,72,0
70,184,204,32
25,13,20,0
16,80,83,0
61,196,185,48
24,14,20,0
24,61,94,0
75,205,187,23
21,10,27,0
13,134,32,0
35,175,115,165
11,14,33,0
19,79,81,0
62,193,187,48
23,9,26,0
24,72,83,0
63,208,173,46
20,15,23,0
25,83,71,0
66,191,189,44
12,17,29,0
11,126,42,0
39,180,136,135
18,12,28,0
12,68,99,0
50,222,175,43
26,10,22,0
17,77,85,0
51,219,190,30
15,15,28,0
3,143,33,0
38,171,110,171
11,15,32,0
18,85,76,0
62,204,171,53
21,14,23,0
15,84,80,0
64,189,180,57
23,9,26,0
19,101,59,0
54,183,174,79
19,13,26,0
20,115,44,0
61,161,178,90
20,10,28,0
24,91,64,0
57,198,171,64
22,11,25,0
16,93,70,0
62,184,180,64
15,14,29,0
20,97,62,0
62,184,171,73
17,7,34,0
16,96,67,0
53,182,180,75
16,15,27,0
11,126,42,0
34,191,140,125
8,17,33,0
25,93,61,0
64,189,169,68
23,11,24,0
22,70,87,0
67,201,175,47
22,13,23,0
21,74,84,0
81,194,183,32
13,18,27,0
12,89,78,0
55,200,170,65
22,12,24,0
20,79,80,0
59,204,174,53
20,13,25,0
32,68,79,0
73,199,197,21
24,11,23,0
22,93,64,0
68,188,161,73
14,15,29,0
20,54,105,0
65,234,184,7
17,16,25,0
24,77,78,0
86,186,203,15
22,15,21,0
22,70,87,0
72,195,192,31
13,16,29,0
19,80,80,0
79,188,177,46
23,13,22,0
20,105,54,0
60,177,169,84
15,13,30,0
19,75,85,0
71,194,181,44
26,15,17,0
6,132,41,0
36,183,131,140
8,17,33,0
16,102,61,0
79,157,184,70
29,7,22,0
22,88,69,0
69,190,179,52
14,11,33,0
19,74,86,0
68,203,198,21
18,19,21,0
22,96,61,0
72,183,167,68
14,15,29,0
21,101,57,0
58,180,178,74
28,6,24,0
25,76,78,0
61,204,178,47
13,15,30,0
17,106,56,0
58,185,172,75
17,10,31,0
17,100,62,0
54,191,175,70
19,11,28,0
19,25,135,0
56,255,177,2
14,21,23,0
28,61,90,0
64,217,186,23
22,10,26,0
21,82,76,0
73,191,184,42
21,12,25,0
6,131,42,0
32,192,106,160
8,16,34,0
17,71,91,0
69,203,185,33
23,11,24,0
12,104,63,0
59,182,167,82
17,11,30,0
15,102,62,0
47,178,183,82
10,17,31,0
21,64,94,0
69,200,209,12
17,11,30,0
26,64,89,0
70,210,198,12
23,12,23,0
17,115,47,0
52,175,154,109
20,13,25,0
20,100,59,0
61,172,178,79
19,18,21,0
14,95,70,0
59,189,162,80
24,9,25,0
20,97,62,0
63,187,172,68
19,10,29,0
29,88,62,0
79,188,178,45
19,13,26,0
19,102,58,0
63,182,168,77
18,11,29,0
17,104,58,0
47,189,167,87
18,13,27,0
13,68,98,0
66,235,173,16
17,14,27,0
16,92,71,0
60,186,180,64
28,11,19,0
11,124,44,0
36,186,139,129
14,14,30,0
14,128,37,0
40,175,124,151
14,14,30,0
22,94,63,0
72,175,188,55
19,15,24,0
6,134,39,0
30,182,125,153
12,16,30,0
25,85,69,0
