split,zero_output,linear_in_input,constant_output
115,307,339,19
17,21,31,0
21,73,80,0
107,286,365,22
21,16,32,0
33,60,81,0
146,275,331,28
26,8,35,0
15,110,49,0
74,258,316,132
16,11,42,0
35,66,73,0
152,271,329,28
37,10,22,0
17,103,54,0
86,270,321,103
17,12,40,0
25,68,81,0
120,280,349,31
30,7,32,0
31,71,72,0
114,281,360,25
20,11,38,0
21,98,55,0
121,253,334,72
31,8,30,0
4,120,50,0
85,259,284,152
24,12,33,0
22,81,71,0
135,268,350,27
27,10,32,0
11,123,40,0
82,242,287,169
17,10,42,0
25,80,69,0
127,250,364,39
23,12,34,0
17,123,34,0
64,251,291,174
16,8,45,0
31,56,87,0
137,291,325,27
30,6,33,0
31,44,99,0
127,298,350,5
32,12,25,0
36,65,73,0
145,271,343,21
37,12,20,0
39,88,47,0
146,229,340,65
39,6,24,0
28,73,73,0
135,262,345,38
28,7,34,0
27,58,89,0
153,274,331,22
30,6,33,0
24,89,61,0
144,240,353,43
30,9,30,0
30,83,61,0
159,261,331,29
27,12,30,0
19,122,33,0
81,243,243,213
15,10,44,0
26,64,84,0
117,306,338,19
23,13,33,0
29,91,54,0
119,265,289,107
21,13,35,0
25,80,69,0
138,275,331,36
36,10,23,0
28,87,59,0
117,275,341,47
27,15,27,0
30,99,45,0
134,231,313,102
25,8,36,0
27,80,67,0
92,282,334,72
24,7,38,0
37,69,68,0
132,276,352,20
33,14,22,0
31,54,89,0
134,311,322,13
18,17,34,0
17,81,76,0
95,292,368,25
19,11,39,0
24,84,66,0
123,266,336,55
23,10,36,0
33,56,85,0
116,315,336,13
19,18,32,0
34,69,71,0
158,245,356,21
30,6,33,0
28,93,53,0
131,249,305,95
29,10,30,0
25,109,40,0
73,252,313,142
19,11,39,0
19,90,65,0
113,266,342,59
25,7,37,0
15,101,58,0
132,241,327,80
27,2,40,0
25,74,75,0
103,294,350,33
20,14,35,0
25,60,89,0
131,301,345,3
19,20,30,0
33,69,72,0
159,255,354,12
31,11,27,0
23,78,73,0
128,268,349,35
36,5,28,0
15,126,33,0
109,224,327,120
25,3,41,0
17,127,30,0
94,223,275,188
20,8,41,0
27,72,75,0
133,273,320,54
26,7,36,0
18,115,41,0
78,246,310,146
19,10,40,0
34,51,89,0
121,294,334,31
26,13,30,0
14,122,38,0
87,246,234,213
16,9,44,0
30,58,86,0
139,282,313,46
27,12,30,0
22,98,54,0
100,272,351,57
25,10,34,0
21,60,93,0
117,341,321,1
25,20,24,0
31,67,76,0
158,251,337,34
40,6,23,0
25,77,72,0
134,260,343,43
36,4,29,0
26,53,95,0
109,314,334,23
13,22,34,0
32,62,80,0
136,286,333,25
22,13,34,0
29,51,94,0
132,320,321,7
29,16,24,0
14,127,33,0
80,236,300,164
22,5,42,0
15,101,58,0
86,271,323,100
16,12,41,0
14,119,41,0
77,261,289,153
18,8,43,0
24,63,87,0
133,299,325,23
29,18,22,0
23,86,65,0
107,271,331,71
22,11,36,0
33,54,87,0
154,289,331,6
31,11,27,0
21,118,35,0
99,240,330,111
21,9,39,0
16,107,51,0
88,254,301,137
17,11,41,0
12,87,75,0
78,301,350,51
18,20,31,0
27,90,57,0
122,253,332,73
24,3,42,0
32,48,94,0
126,308,330,16
23,14,32,0
25,24,125,0
130,322,322,6
27,18,24,0
29,63,82,0
126,294,345,15
28,14,27,0
19,117,38,0
79,263,301,137
14,11,44,0
14,126,34,0
90,235,240,215
19,7,43,0
16,124,34,0
88,239,317,136
16,11,42,0
26,96,52,0
113,256,342,69
17,14,38,0
29,76,69,0
108,272,346,54
24,8,37,0
32,67,75,0
133,275,344,28
24,14,31,0
28,80,66,0
106,285,360,29
21,18,30,0
16,84,74,0
78,286,333,83
16,12,41,0
18,95,61,0
125,249,365,41
21,8,40,0
26,92,56,0
124,258,344,54
30,9,30,0
17,83,74,0
99,277,315,89
17,12,40,0
25,98,51,0
106,258,347,69
27,6,36,0
14,80,80,0
103,294,320,63
25,6,38,0
32,56,86,0
133,288,335,24
30,12,27,0
27,77,70,0
94,300,353,33
28,11,30,0
26,76,72,0
101,282,356,41
25,11,33,0
29,92,53,0
110,273,345,52
30,6,33,0
34,70,70,0
124,284,356,16
37,9,23,0
27,78,69,0
105,276,350,49
23,10,36,0
28,59,87,0
136,293,329,22
32,10,27,0
23,27,124,0
113,329,329,9
31,9,29,0
24,88,62,0
107,273,345,55
19,14,36,0
19,128,27,0
98,219,312,151
16,10,43,0
32,73,69,0
124,304,336,16
21,18,30,0
30,49,95,0
123,293,339,25
30,8,31,0
28,100,46,0
109,233,362,76
27,3,39,0
10,122,42,0
85,251,301,143
19,11,39,0
20,113,41,0
103,239,345,93
24,7,38,0
24,88,62,0
105,272,362,41
27,15,27,0
38,87,49,0
129,249,364,38
28,10,31,0
28,64,82,0
134,288,314,44
20,17,32,0
15,63,96,0
123,279,353,25
30,8,31,0
16,109,49,0
100,254,334,92
20,9,40,0
31,88,55,0
133,246,348,53
31,8,30,0
8,105,61,0
68,305,334,73
19,16,34,0
21,95,58,0
102,258,365,55
27,13,29,0
30,72,72,0
127,266,347,40
23,9,37,0
16,122,36,0
96,237,233,214
21,9,39,0
28,75,71,0
133,282,316,49
16,18,35,0
34,53,87,0
146,274,339,21
28,8,33,0
19,58,97,0
113,294,347,26
27,11,31,0
27,91,56,0
117,263,349,51
21,12,36,0
18,104,52,0
84,276,324,96
21,12,36,0
36,82,56,0
141,248,350,41
29,13,27,0
25,58,91,0
103,334,340,3
22,24,23,0
30,81,63,0
117,266,352,45
23,14,32,0
23,60,91,0
110,300,347,23
18,14,37,0
23,99,52,0
92,273,349,66
25,13,31,0
24,59,91,0
86,303,350,41
23,8,38,0
13,127,34,0
83,235,296,166
23,6,40,0
22,78,74,0
99,283,345,53
23,10,36,0
27,88,59,0
165,249,338,28
28,9,32,0
25,101,48,0
94,260,344,82
20,11,38,0
19,104,51,0
88,270,323,99
25,9,35,0
28,74,72,0
144,264,337,35
21,13,35,0
20,78,76,0
105,275,344,56
29,11,29,0
25,62,87,0
109,292,370,9
25,20,24,0
29,66,79,0
139,292,328,21
34,14,21,0
30,63,81,0
157,267,331,25
29,7,33,0
26,94,54,0
110,266,348,56
17,14,38,0
13,112,49,0
82,261,306,131
21,12,36,0
23,97,54,0
116,249,348,67
26,7,36,0
21,97,56,0
106,252,333,89
25,7,37,0
11,110,53,0
89,244,307,140
20,9,40,0
30,42,102,0
133,297,332,18
38,7,24,0
21,106,47,0
76,251,331,122
22,8,39,0
43,42,89,0
155,284,338,3
26,16,27,0
27,78,69,0
150,282,343,5
29,17,23,0
23,78,73,0
141,274,336,29
21,15,33,0
35,49,90,0
125,307,339,9
31,13,25,0
15,123,36,0
92,243,230,215
17,8,44,0
27,69,78,0
111,282,366,21
27,8,34,0
20,69,85,0
128,277,340,35
22,9,38,0
27,76,71,0
101,274,381,24
19,10,40,0
13,118,43,0
78,258,285,159
16,12,41,0
15,62,97,0
137,292,322,29
30,7,32,0
24,66,84,0
112,301,346,21
23,13,33,0
17,127,30,0
62,255,248,215
13,10,46,0
27,79,68,0
123,282,343,32
18,20,31,0
21,78,75,0
124,272,350,34
28,7,34,0
26,92,56,0
116,268,332,64
30,7,32,0
28,108,38,0
106,244,361,69
31,8,30,0
23,89,62,0
121,264,345,50
28,10,31,0
23,92,59,0
108,273,347,52
23,16,30,0
23,89,62,0
89,284,347,60
22,16,31,0
18,90,66,0
79,285,355,61
17,16,36,0
13,116,45,0
73,264,317,126
11,15,43,0
26,88,60,0
125,262,330,63
21,16,32,0
22,64,88,0
140,263,337,40
32,6,31,0
31,68,75,0
123,294,349,14
18,18,33,0
16,84,74,0
93,292,344,51
28,9,32,0
19,76,79,0
90,296,351,43
32,8,29,0
30,62,82,0
155,280,333,12
32,10,27,0
27,83,64,0
93,282,334,71
22,9,38,0
24,47,103,0
136,330,309,5
20,22,27,0
29,69,76,0
135,298,346,1
23,21,25,0
31,59,84,0
147,280,346,7
22,18,29,0
18,71,85,0
136,276,338,30
30,8,31,0
25,97,52,0
121,249,338,72
19,14,36,0
22,67,85,0
101,291,361,27
27,10,32,0
16,120,38,0
78,241,283,178
21,10,38,0
26,96,52,0
148,230,351,51
38,4,27,0
25,75,74,0
112,275,355,38
22,8,39,0
22,71,81,0
144,287,349,0
25,21,23,0
20,88,66,0
126,261,366,27
29,12,28,0
26,90,58,0
110,262,357,51
23,9,37,0
34,63,77,0
121,281,356,22
21,8,40,0
28,94,52,0
116,271,332,61
25,12,32,0
28,87,59,0
123,270,337,50
21,13,35,0
22,19,133,0
109,349,322,0
28,19,22,0
37,47,90,0
136,297,339,8
29,17,23,0
38,71,65,0
113,296,333,38
21,14,34,0
8,122,44,0
71,255,241,213
18,8,43,0
26,59,89,0
118,291,356,15
33,10,26,0
24,94,56,0
100,268,356,56
23,12,34,0
22,94,58,0
89,271,334,86
22,15,32,0
40,50,84,0
146,291,338,5
27,19,23,0
42,54,78,0
145,302,326,7
15,18,36,0
19,109,46,0
89,251,331,109
22,6,41,0
26,90,58,0
122,263,349,46
21,11,37,0
16,90,68,0
101,275,334,70
20,9,40,0
29,88,57,0
112,278,347,43
25,12,32,0
32,77,65,0
148,255,342,35
32,11,26,0
25,92,57,0
106,266,342,66
22,9,38,0
19,98,57,0
112,268,307,93
30,14,25,0
23,54,97,0
128,323,321,8
25,19,25,0
25,81,68,0
99,274,363,44
30,8,31,0
13,117,44,0
86,243,279,172
22,9,38,0
11,122,41,0
95,239,233,213
19,10,40,0
31,87,56,0
123,268,349,40
28,10,31,0
11,122,41,0
71,250,291,168
19,10,40,0
24,82,68,0
147,279,337,17
19,16,34,0
27,80,67,0
145,258,353,24
26,14,29,0
38,81,55,0
128,273,328,51
23,13,33,0
35,65,74,0
111,285,341,43
22,8,39,0
22,97,55,0
88,280,350,62
20,12,37,0
29,50,95,0
162,285,330,3
33,10,26,0
36,76,62,0
122,264,369,25
33,10,26,0
22,90,62,0
86,278,373,43
17,20,32,0
27,99,48,0
132,233,348,67
33,7,29,0
18,114,42,0
104,231,281,164
18,9,42,0
42,54,78,0
138,301,329,12
28,15,26,0
27,67,80,0
151,254,339,36
30,9,30,0
6,119,49,0
68,261,262,189
16,10,43,0
21,69,84,0
112,289,318,61
38,7,24,0
28,48,98,0
109,314,339,18
35,6,28,0
14,118,42,0
84,252,314,130
15,13,41,0
20,92,62,0
114,266,345,55
28,6,35,0
17,109,48,0
86,261,295,138
18,10,41,0
25,63,86,0
134,291,331,24
18,17,34,0
36,53,85,0
116,324,337,3
14,25,30,0
20,35,119,0
139,310,318,13
32,10,27,0
21,114,39,0
90,245,323,122
13,11,45,0
29,67,78,0
134,267,337,42
30,10,29,0
34,58,82,0
127,305,337,11
26,13,30,0
16,128,30,0
95,230,241,214
22,5,42,0
16,114,44,0
107,252,320,101
20,12,37,0
32,63,79,0
143,271,318,48
29,4,36,0
20,99,55,0
98,264,326,92
18,13,38,0
32,66,76,0
115,277,352,36
23,13,33,0
24,87,63,0
122,275,343,40
28,15,26,0
24,102,48,0
82,275,338,85
17,18,34,0
32,68,74,0
133,295,346,6
17,17,35,0
32,70,72,0
151,266,334,29
40,8,21,0
33,67,74,0
151,258,327,44
37,6,26,0
24,81,69,0
138,277,346,19
22,12,35,0
21,94,59,0
116,264,331,69
32,10,27,0
36,75,63,0
154,249,349,28
31,11,27,0
7,113,54,0
87,257,338,98
23,11,35,0
26,87,61,0
96,286,328,70
15,22,32,0
26,73,75,0
145,276,342,17
26,15,28,0
33,51,90,0
151,266,333,30
28,6,35,0
31,65,78,0
164,263,306,47
30,7,32,0
35,69,70,0
123,296,342,19
22,14,33,0
17,99,58,0
107,256,345,72
21,6,42,0
16,126,32,0
83,244,271,182
17,8,44,0
20,120,34,0
93,233,280,174
21,9,39,0
21,88,65,0
132,255,351,42
27,8,34,0
28,81,65,0
120,296,360,4
20,20,29,0
27,95,52,0
106,249,360,65
31,9,29,0
14,73,87,0
98,302,333,47
17,17,35,0
14,116,44,0
118,236,336,90
25,9,35,0
38,61,75,0
131,291,346,12
31,13,25,0
17,127,30,0
104,228,266,182
21,9,39,0
27,82,65,0
110,279,343,48
28,13,28,0
28,99,47,0
115,253,337,75
24,15,30,0
18,116,40,0
74,260,326,120
18,11,40,0
17,87,70,0
97,262,337,84
26,5,38,0
28,42,104,0
120,311,343,6
26,18,25,0
34,51,89,0
147,287,333,13
30,10,29,0
30,86,58,0
119,248,350,63
28,11,30,0
17,120,37,0
95,241,268,176
17,7,45,0
39,80,55,0
159,234,350,37
37,5,27,0
39,52,83,0
134,283,345,18
22,16,31,0
27,75,72,0
116,284,357,23
29,14,26,0
33,78,63,0
132,282,336,30
20,16,33,0
18,95,61,0
130,254,350,46
23,9,37,0
