split,zero_output,linear_in_input,constant_output
80,224,243,0
17,16,22,0
68,83,108,0
88,200,259,0
18,10,27,0
80,74,105,0
114,182,251,0
20,11,24,0
88,112,59,0
72,145,330,0
17,12,26,0
77,87,95,0
115,192,240,0
16,9,30,0
85,112,62,0
63,157,327,0
11,15,29,0
79,86,94,0
110,160,277,0
28,8,19,0
84,91,84,0
85,189,273,0
23,9,23,0
87,110,62,0
105,138,304,0
30,8,17,0
89,115,55,0
82,135,330,0
17,9,29,0
82,95,82,0
108,178,261,0
25,10,20,0
103,124,32,0
61,133,353,0
15,11,29,0
81,91,87,0
86,176,285,0
22,10,23,0
85,131,43,0
74,117,356,0
22,8,25,0
69,80,110,0
98,185,264,0
28,6,21,0
69,65,125,0
91,217,239,0
15,12,28,0
85,84,90,0
111,178,258,0
16,10,29,0
89,108,62,0
123,129,295,0
30,5,20,0
88,92,79,0
102,168,277,0
25,6,24,0
71,85,103,0
112,185,250,0
26,13,16,0
78,109,72,0
110,160,277,0
22,8,25,0
85,96,78,0
135,160,252,0
28,8,19,0
96,130,33,0
58,131,358,0
21,7,27,0
72,86,101,0
112,188,247,0
20,6,29,0
76,109,74,0
82,151,314,0
21,10,24,0
74,93,92,0
98,189,260,0
15,12,28,0
86,101,72,0
99,182,266,0
22,8,25,0
99,107,53,0
87,143,317,0
25,6,24,0
91,93,75,0
79,174,294,0
16,13,26,0
85,88,86,0
110,162,275,0
28,9,18,0
68,75,116,0
103,209,235,0
22,9,24,0
80,89,90,0
87,183,277,0
12,19,24,0
87,96,76,0
103,155,289,0
25,8,22,0
82,70,107,0
119,200,228,0
29,9,17,0
94,90,75,0
116,160,271,0
33,4,18,0
82,103,74,0
117,136,294,0
25,7,23,0
89,119,51,0
64,140,343,0
21,12,22,0
91,100,68,0
102,154,291,0
31,4,20,0
92,111,56,0
95,139,313,0
23,8,24,0
69,85,105,0
89,184,274,0
17,12,26,0
83,74,102,0
103,210,234,0
16,14,25,0
86,90,83,0
172,143,232,0
35,3,17,0
82,94,83,0
110,166,271,0
25,9,21,0
95,130,34,0
94,108,345,0
23,4,28,0
97,132,30,0
77,102,368,0
21,6,28,0
79,85,95,0
103,179,265,0
26,6,23,0
96,119,44,0
58,139,350,0
15,11,29,0
78,71,110,0
97,196,254,0
18,12,25,0
97,125,37,0
53,139,355,0
18,10,27,0
74,75,110,0
113,188,246,0
27,11,17,0
84,106,69,0
91,154,302,0
19,11,25,0
60,80,119,0
83,239,225,0
14,15,26,0
85,85,89,0
124,179,244,0
28,4,23,0
89,92,78,0
104,173,270,0
25,8,22,0
58,72,129,0
92,206,249,0
16,13,26,0
77,82,100,0
107,199,241,0
17,14,24,0
73,72,114,0
108,205,234,0
13,12,30,0
91,130,38,0
70,112,365,0
25,5,25,0
84,106,69,0
73,153,321,0
14,14,27,0
81,128,50,0
63,130,354,0
23,8,24,0
77,83,99,0
100,199,248,0
13,12,30,0
89,90,80,0
118,153,276,0
24,11,20,0
82,71,106,0
115,201,231,0
17,9,29,0
96,126,37,0
83,129,335,0
21,10,24,0
88,110,61,0
61,154,332,0
18,14,23,0
73,87,99,0
67,184,296,0
20,13,22,0
91,104,64,0
85,161,301,0
16,8,31,0
69,67,123,0
89,208,250,0
21,9,25,0
51,38,170,0
103,231,213,0
22,8,25,0
68,85,106,0
87,196,264,0
24,11,20,0
92,123,44,0
49,148,350,0
12,14,29,0
94,132,33,0
64,125,358,0
20,8,27,0
100,127,32,0
66,120,361,0
13,12,30,0
90,109,60,0
118,145,284,0
21,7,27,0
77,91,91,0
76,186,285,0
20,8,27,0
89,86,84,0
108,180,259,0
26,12,17,0
81,96,82,0
109,170,268,0
19,10,26,0
72,92,95,0
77,179,291,0
15,17,23,0
88,103,68,0
89,167,291,0
19,10,26,0
86,105,68,0
103,161,283,0
29,6,20,0
71,91,97,0
85,182,280,0
18,16,21,0
87,116,56,0
82,158,307,0
21,8,26,0
77,85,97,0
89,177,281,0
17,10,28,0
80,75,104,0
97,200,250,0
15,11,29,0
77,92,90,0
100,178,269,0
24,7,24,0
82,92,85,0
78,177,292,0
23,9,23,0
88,106,65,0
82,162,303,0
22,9,24,0
87,89,83,0
112,182,253,0
28,6,21,0
84,94,81,0
78,179,290,0
20,11,24,0
76,76,107,0
123,192,232,0
18,8,29,0
51,45,163,0
99,231,217,0
19,8,28,0
74,106,79,0
84,180,283,0
17,8,30,0
98,136,25,0
65,111,371,0
13,10,32,0
74,85,100,0
108,199,240,0
16,12,27,0
62,77,120,0
102,188,257,0
22,11,22,0
98,115,46,0
91,129,327,0
25,6,24,0
98,122,39,0
54,137,356,0
11,12,32,0
94,123,42,0
80,130,337,0
17,8,30,0
74,102,83,0
90,171,286,0
24,6,25,0
93,99,67,0
125,142,280,0
26,4,25,0
68,79,112,0
101,187,259,0
23,12,20,0
73,77,109,0
115,185,247,0
21,9,25,0
97,110,52,0
83,151,313,0
15,10,30,0
76,111,72,0
109,150,288,0
27,8,20,0
73,104,82,0
72,181,294,0
8,16,31,0
90,103,66,0
96,144,307,0
19,11,25,0
86,90,83,0
92,173,282,0
23,9,23,0
92,128,39,0
63,134,350,0
22,8,25,0
81,91,87,0
93,201,253,0
17,14,24,0
74,74,111,0
127,191,229,0
25,8,22,0
70,71,118,0
63,207,277,0
24,7,24,0
84,103,72,0
90,167,290,0
24,9,22,0
84,113,62,0
87,154,306,0
26,8,21,0
89,104,66,0
125,144,278,0
33,7,15,0
66,81,112,0
103,213,231,0
14,19,22,0
79,103,77,0
81,159,307,0
18,12,25,0
71,79,109,0
98,194,255,0
16,15,24,0
91,106,62,0
89,145,313,0
24,8,23,0
69,72,118,0
93,183,271,0
20,14,21,0
99,126,34,0
83,107,357,0
26,6,23,0
81,87,91,0
87,171,289,0
16,15,24,0
80,102,77,0
129,151,267,0
26,5,24,0
92,114,53,0
73,152,322,0
9,11,35,0
91,106,62,0
70,159,318,0
12,12,31,0
83,88,88,0
93,182,272,0
18,10,27,0
87,89,83,0
107,157,283,0
18,10,27,0
76,77,106,0
122,177,248,0
18,11,26,0
67,89,103,0
116,191,240,0
19,14,22,0
75,81,103,0
118,181,248,0
29,6,20,0
79,114,66,0
83,152,312,0
18,7,30,0
96,109,54,0
71,150,326,0
13,13,29,0
85,114,60,0
83,151,311,2
15,10,30,0
78,111,70,0
73,152,322,0
28,6,21,0
96,112,51,0
65,147,335,0
20,12,23,0
68,62,129,0
107,195,245,0
22,6,27,0
88,113,58,0
68,141,338,0
18,13,24,0
72,68,119,0
172,175,200,0
30,6,19,0
85,101,73,0
112,176,259,0
25,8,22,0
72,89,98,0
104,187,256,0
24,12,19,0
79,72,108,0
96,215,236,0
14,13,28,0
95,125,39,0
50,139,358,0
20,8,27,0
78,85,96,0
85,193,269,0
21,11,23,0
80,82,97,0
84,196,267,0
21,17,17,0
83,90,86,0
97,165,285,0
20,12,23,0
89,118,52,0
75,137,335,0
15,12,28,0
61,69,129,0
102,186,259,0
20,9,26,0
74,79,106,0
91,203,253,0
18,13,24,0
94,133,32,0
63,126,358,0
20,7,28,0
75,93,91,0
85,194,268,0
20,10,25,0
72,91,96,0
99,168,280,0
25,6,24,0
86,105,68,0
95,156,296,0
20,9,26,0
95,118,46,0
88,145,314,0
25,5,25,0
86,99,74,0
95,172,280,0
25,9,21,0
78,102,79,0
103,155,289,0
20,11,24,0
78,100,81,0
77,166,304,0
31,9,15,0
79,106,74,0
70,156,321,0
8,18,29,0
92,116,51,0
60,148,339,0
11,14,30,0
86,104,69,0
115,156,276,0
12,17,26,0
69,86,104,0
102,183,262,0
27,8,20,0
83,83,93,0
112,189,246,0
14,14,27,0
71,92,96,0
98,168,281,0
22,14,19,0
76,89,94,0
94,173,280,0
18,13,24,0
83,78,98,0
138,177,232,0
18,11,26,0
84,98,77,0
87,160,300,0
24,9,22,0
58,66,135,0
92,235,220,0
14,15,26,0
70,94,95,0
120,190,237,0
24,10,21,0
77,76,106,0
102,198,247,0
18,13,24,0
85,83,91,0
104,182,261,0
27,6,22,0
99,104,56,0
96,146,305,0
23,8,24,0
65,85,109,0
100,180,267,0
19,15,21,0
90,127,42,0
56,140,351,0
20,12,23,0
86,109,64,0
116,142,289,0
29,8,18,0
82,92,85,0
116,160,271,0
24,10,21,0
67,89,103,0
106,200,241,0
17,16,22,0
87,96,76,0
95,160,292,0
16,12,27,0
89,104,66,0
86,154,307,0
22,10,23,0
80,84,95,0
85,187,275,0
17,14,24,0
95,104,60,0
101,158,288,0
21,9,25,0
86,99,74,0
124,155,268,0
19,8,28,0
43,40,176,0
115,235,197,0
18,13,24,0
68,76,115,0
114,200,233,0
16,11,28,0
82,93,84,0
111,178,258,0
19,13,23,0
90,121,48,0
51,145,351,0
19,13,23,0
76,76,107,0
97,196,254,0
27,7,21,0
83,104,72,0
89,148,310,0
26,7,22,0
74,103,82,0
78,166,303,0
16,13,26,0
73,80,106,0
130,188,229,0
19,8,28,0
72,85,102,0
120,200,227,0
20,14,21,0
85,118,56,0
67,144,336,0
20,9,26,0
86,102,71,0
77,167,303,0
23,10,22,0
71,97,91,0
104,146,297,0
22,9,24,0
85,99,75,0
92,174,281,0
27,6,22,0
93,97,69,0
141,143,263,0
28,7,20,0
89,103,67,0
73,164,310,0
28,5,22,0
81,106,72,0
77,169,301,0
14,14,27,0
59,73,127,0
98,221,228,0
15,13,27,0
84,92,83,0
95,161,291,0
24,8,23,0
96,113,50,0
67,141,339,0
17,13,25,0
100,123,36,0
61,137,349,0
13,13,29,0
93,102,64,0
124,149,274,0
25,7,23,0
90,122,47,0
57,138,352,0
13,12,30,0
86,92,81,0
132,172,243,0
23,8,24,0
80,94,85,0
139,158,250,0
29,5,21,0
89,98,72,0
98,162,287,0
25,6,24,0
72,88,99,0
98,171,278,0
23,10,22,0
79,112,68,0
71,176,300,0
15,9,31,0
60,72,127,0
118,206,223,0
33,7,15,0
71,101,87,0
104,166,277,0
24,12,19,0
84,98,77,0
96,159,292,0
26,7,22,0
85,113,61,0
142,110,295,0
36,3,16,0
90,122,47,0
55,141,351,0
14,14,27,0
71,81,107,0
116,205,226,0
